ID,casejudge,case,Breyer,Ginsburg,Souter,Stevens,OConnor,Kennedy,Rehnquist,Thomas,Scalia
1,PresElection,1,0,0,0,0,1,1,1,1,1
2,Federalism,1,0,0,0,0,1,1,1,1,1
3,FreeSpeech,1,1,0,0,0,1,1,1,1,1
4,SeatBelt,1,0,0,1,0,0,1,1,1,1
5,IllegalSearch1,1,1,1,1,0,0,0,0,1,1
6,CampaignFinance,1,1,1,1,1,1,0,0,0,0
7,VotingRights,1,1,1,1,1,1,0,0,0,0
8,Immigration,1,1,1,1,1,0,1,0,0,0
9,IllegalSearch2,1,1,1,1,1,1,1,0,0,0
10,IllegalSearch3,1,1,1,1,1,1,1,0,0,0
11,CleanAirAct,1,1,1,1,1,1,1,1,1,1
12,StayExecution,1,1,1,1,1,1,1,0,0,0
13,CleanWater,1,0,0,0,0,1,1,1,1,1
14,Cannabis,1,,1,1,1,1,1,1,1,1
15,UnitedFoods,1,0,0,1,1,0,1,1,1,1
16,NYTimes,1,0,1,1,0,1,1,1,1,1
17,TitleIV,1,0,0,0,0,1,1,1,1,1
18,PGAvPlayer,1,1,1,1,1,1,1,1,0,0
19,LegalAidPoor,1,1,1,1,1,0,1,0,0,0
20,Privacy,1,1,1,1,1,1,1,0,0,0
21,Tobacco,1,0,0,0,0,1,1,1,1,1
22,CriminalAliens,1,1,1,1,1,0,1,0,0,0
23,DeportAliens,1,1,1,1,1,1,0,0,0,0
24,Citizenship,1,0,0,0,1,0,1,1,1,1
25,LaborIssue,1,0,0,0,0,1,1,1,1,1
26,Property,1,0,0,0,0,1,1,1,1,1
27,Breyer,0,,,,,,,,,
28,Ginsburg,0,,,,,,,,,
29,Souter,0,,,,,,,,,
30,Stevens,0,,,,,,,,,
31,OConnor,0,,,,,,,,,
32,Kennedy,0,,,,,,,,,
33,Rehnquist,0,,,,,,,,,
34,Thomas,0,,,,,,,,,
35,Scalia,0,,,,,,,,,
