Abbrev,Lat,Long,Name,Tobacco,Housing
AL,32.6010112,-86.6807365,Alabama,179929,2274565
AK,61.3025006,-158.7750198,Alaska,55500,318336
AZ,34.1682185,-111.930907,Arizona,312808,3035669
AR,34.7519275,-92.1313784,Arkansas,226728,1380504
CA,37.2718745,-119.2704153,California,2428121,14277157
CO,38.9979339,-105.550567,Colorado,193881,2424051
CT,41.5187835,-72.757507,Connecticut,376814,1521117
DE,39.145251,-75.4189206,Delaware,123026,438693
DC,38.8993487,-77.0145666,District of Columbia,27956,319531
FL,27.9757279,-83.8330166,Florida,1172492,9547305
GA,32.6781248,-83.2229757,Georgia,224910,4326105
HI,20.46,-157.505,Hawaii,120386,546213
ID,45.4945756,-114.1424303,Idaho,51141,735672
IL,39.739318,-89.504139,Illinois,764296,5376064
IN,39.7662195,-86.441277,Indiana,418810,2903554
IA,41.9383166,-93.389798,Iowa,212469,1409650
KS,38.4987789,-98.3200779,Kansas,130247,1280774
KY,37.8222935,-85.7682399,Kentucky,228749,1995182
LA,30.9733766,-91.4299097,Louisiana,163770,2076028
ME,45.2185133,-69.0148656,Maine,132950,746596
MD,38.8063524,-77.2684162,Maryland,372724,2458801
MA,42.0629398,-71.718067,Massachusetts,594173,2914929
MI,44.9435598,-86.4158049,Michigan,1007822,4614380
MN,46.4418595,-93.3655146,Minnesota,593410,2456064
MS,32.5851062,-89.8772196,Mississippi,139733,1332577
MO,38.3046615,-92.437099,Missouri,97408,2806371
MT,46.6797995,-110.044783,Montana,80532,515175
NE,41.5008195,-99.680902,Nebraska,57123,845042
NV,38.502032,-117.0230604,Nevada,177161,1268633
NH,44.0012306,-71.5799231,New Hampshire,212698,638091
NJ,40.1430058,-74.7311156,New Jersey,660315,3628302
NM,34.1662325,-106.0260685,New Mexico,93862,943208
NY,40.7056258,-73.97968,New York,1151660,8363934
NC,35.2145629,-79.8912675,North Carolina,292143,4684876
ND,47.4678819,-100.3022655,North Dakota,28001,377649
OH,40.1903624,-82.6692525,Ohio,941105,5217423
OK,35.3097654,-98.7165585,Oklahoma,313411,1743069
OR,44.1419049,-120.5380993,Oregon,263860,1788681
PA,40.9945928,-77.6046984,Pennsylvania,1372695,5713150
RI,41.5827282,-71.5064508,Rhode Island,146691,469157
SC,33.62505,-80.9470381,South Carolina,27199,2318271
SD,44.2126995,-100.2471641,South Dakota,59158,397526
TN,35.830521,-85.9785989,Tennessee,248673,2992279
TX,31.1693363,-100.0768425,Texas,1440336,11100779
UT,39.4997605,-111.547028,Utah,114492,1108763
VT,43.8717545,-72.4477828,Vermont,71078,337110
VA,38.0033855,-79.4587861,Virginia,160383,3538847
WA,47.4,-121.49,Washington,422264,3148129
WV,38.9201705,-80.1816905,West Virginia,177840,893778
WI,44.7862968,-89.8267049,Wisconsin,617415,2710723
WY,43.000325,-107.5545669,Wyoming,22076,278595
